sequence	bsb_scan	printed_page	lecture	first_text	last_text	full_image_sha256
1	35	[1] unnumbered	I	PRAEFATIO IN EPISTOLAM PAULI AD EPHESIOS	institui solet ejusdem Analysin & Exegesin: Siquidem	205c11276302f94d12277e384d54ac1d3df43054b605c8a771b99815fcf03b00
2	36	2	I	illa singulis Ecclesiae membris	illa liminari institutione prius sufficienter imbutos	ae173cdd37dc5f1b65cf33e764abfe8f21b3766964cc7dd92d3601fec97e2701
3	37	3	I	nec linguarum artiumque huic famulantium	egregium	ab28f181f0dea555ccd0bc4a82451f8051e4cb21cda775be181e914d53c1bacd
4	38	4	I	ac luculentum habeamus fidelissimi ac vigilantissimi Pastoris exemplar	qua quidem fidei	2f0c2d4ba769a6ee4eab4ec33949d85bfefcbdafdcce1b0156c500d12a1e33b1
5	39	5	I	firmitate Electi omnes necessario	velut ab inferis	1fe489acaeb48356e1b571f5dd4b79b25ac23ffa4c70dbd08c387fcfbf8c34eb
6	40	6	I	revocatas; adversus hostes gratiae Dei	Quae	76e09b64f2b44a9cca0008503adda8cee53eebc0f6413cda71545866c9d7f473
7	41	7	I	cum ita sint, Auditores, profecto	quibus Roma pro Evangelio captivus detinebatur	49591878b18030438bcb4caa6a332c288b7d55632df17f5384288caf7a9504c8
8	42	8	I	ne ob Apostoli sui	inexhausta benignitas. AMEN.	580a234288e4287b89dd41f351afd8908c0ac9e1e97c7733d552c3ee87d68e36
